site,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__groundstorey_capture,mean__understorey_capture,mean__midstorey_capture,mean__upperstorey_capture,sd__groundstorey_capture,sd__understorey_capture,sd__midstorey_capture,sd__upperstorey_capture,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m
EPO_Y_36,EPO,2005.0,20.0,373.9389894,2.775445574,EP,14.125612419659339,20.8292,4.09873349360317,0.29568269325999985,0.5204441252246473,1.6225036555246155,0.7584314101671046,0.7006940524947465,-0.23495525142975476,0.16084709075247194,0.1396167729152149,0.5237060030911402,0.7107408819666892,0.43144373582073703,0.0,0.40162897719540813,0.31892738280898714,0.28507661959643593,0.0,0.21058995861948554,0.6841350158937579,0.1979529881240924
EPO_Y_37,EPO,2002.0,23.0,377.0918094,5.827362739,EP,19.546503046601913,29.839199999999998,5.400514191857178,0.2845025658157782,0.5187854658363699,2.201588235971566,0.601493392008186,0.5728717505778891,-0.23191875092986564,0.13193990433549718,0.10291980225514245,0.6386666777007441,0.7937628168748843,0.4569352774337007,0.717012988205522,0.348013731788129,0.2770150002983606,0.271176151747187,0.19368540083378222,0.23581700204477057,0.9005346238516874,0.10440521019140343
EPY_O_01,EPY,2011.0,14.0,409.6084246,7.213790656,EP,24.30071967445173,30.3114,3.348425277527176,0.13787544737355972,0.732646311497582,2.1029896853920578,0.3949312231680101,0.23616505930598491,2.615523723196007,0.12859804811462325,0.13294645757546575,0.6080154811013361,0.2477724290920297,0.18796854680027636,0.0,0.659269864978048,0.28806725920875104,0.18400875693299162,0.0,0.17602635287685273,0.7238864801135182,0.16127283398203163
EPY_O_07,EPY,2011.0,14.0,602.9787704,2.841855853,EP,19.01123838668625,26.9406,3.608839293377143,0.1937833672892409,0.6234388072530421,2.3268413403399917,0.45975668192775326,0.3381392693992562,-0.2677013213613523,0.11594824060082672,0.11769896981996222,0.694907214985182,0.13313429518752268,0.12467373152466288,0.0,0.6823219325850157,0.21230557549821483,0.12408818326552326,0.0,0.12961224222508966,0.7239171047035098,0.120104619857564
EPY_O_09,EPY,2012.0,13.0,387.7080181,7.718757714,EP,16.1151005781962,22.355,3.81709724556899,0.23690578093830936,0.7401529901260682,1.5974903362976764,0.3799398911199528,0.35214248448872265,1.6888203358437068,0.15366663638349443,0.13431342495782572,0.500201753166696,0.1400913105205213,0.2345083581108897,0.0,0.4984488907666507,0.21842717630375455,0.21232683343714837,0.0,0.23580212893645186,0.6247409549999904,0.1901385125149584
EPY_Y_03,EPY,2017.0,8.0,577.9202269,5.539975632,EP,8.354218011159729,15.072,3.4961913108335687,0.42074614175870967,0.670645065773242,1.3551648355161336,0.39076144371259147,0.5399901475737467,0.36899311766437953,0.16531162327729193,0.1965163402141998,0.4804073294404117,0.21253655795340504,0.29651326253107513,0.0,0.3020065980386963,0.33773222223871957,0.286428402449572,0.0,0.2645371392110919,0.5338968565519068,0.25507176086665645
EPY_Y_04,EPY,2020.0,5.0,470.3689424,16.95591156,EP,3.410365583575036,9.708200000000001,2.3656378609527744,0.7474883035920765,0.47923134476278506,1.121582898008413,0.6996500865615667,0.9830426519193726,-0.2207845500003253,0.16236116153341684,0.21590258498141202,0.46348374207575527,0.4196653229576762,0.20139495589406287,0.0,0.15811570488189783,0.2615873648249102,0.19528973773372632,0.0,0.20561705388796683,0.3036906835140039,0.27157201460083175
EPY_Y_05,EPY,2020.0,5.0,334.7840411,8.611865997,EP,5.733618063131276,10.574200000000001,1.7866666041670132,0.32746128119121487,0.5456941455674218,1.5994425208457366,0.43754268195660684,0.3711849969191051,-0.12535029660930236,0.1004200614997647,0.14795215061958783,0.6346625241580395,0.17586906470565272,0.0,0.0,0.6471676692300121,0.16501764420563036,0.0,0.0,0.17011630966036978,0.6471676692300121,0.17011630966036978
NRM_31,NRM,1994.0,31.0,470.8943404,7.143108841,NR,20.541966206167494,36.1516,6.128783040002581,0.3011686303580457,0.6342080886953665,2.1401979134813165,0.4126511585049285,0.46354698125733745,0.16686046242823022,0.1268216741132539,0.0934821634083478,0.5907815061297619,0.2465934368370125,0.26133537021086484,0.6797024935754495,0.3410799268353686,0.3271818004909845,0.2520910921425102,0.20662256198894974,0.28994467780870564,0.850812629199973,0.11468705266950412
NRM_O_15,NRM,1991.0,34.0,480.002444,8.955634231,NR,16.994284953660376,28.211199999999998,4.677869293552546,0.2767013071956921,0.5927102157567438,2.032225102930968,0.5292487937944074,0.4649472465843495,-0.6383044781025414,0.12243019010788067,0.12163359476111604,0.5964526882292172,0.6403291404407994,0.2630900685746814,0.7074364809982773,0.3584448358294955,0.3513728832532334,0.2831666566201144,0.25813419633485235,0.2256927861571937,0.8648033216488319,0.1464459364347548
