site_plot_id,field_groundstorey,field_understorey,field_midstorey,field_upperstorey,groundstorey_rel_density,groundstorey_rel_density_w,groundstorey_capture,groundstorey_capture_w,understorey_rel_density,understorey_rel_density_w,understorey_capture,understorey_capture_w,midstorey_rel_density,midstorey_rel_density_w,midstorey_capture,midstorey_capture_w,upperstorey_rel_density,upperstorey_rel_density_w,upperstorey_capture,upperstorey_capture_w
NRM_Y_69_P4,10.0,9.0,25.0,23.0,6.488426716173018,5.726733893543309,54.055886752302165,54.14171706335708,7.129064994872306,5.790676321246193,35.801855166464335,34.11954021985993,41.22310769821851,40.98798512226351,67.88837300220072,70.8621685472728,39.2950560704579,42.324507472487184,39.2950560704579,42.324507472487184
NRM_Y_69_P5,11.0,9.0,30.0,24.0,3.872921117964881,3.2626556146820445,37.48667977932232,37.532789813090396,4.853330033151635,3.6958910676968215,30.867474586621107,29.021092100510167,38.928125974572424,38.17774622494644,70.6738753863349,73.72096148974718,45.34566938293079,48.84841981111034,45.34566938293077,48.84841981111034
NRO_138_P1,23.0,6.0,7.0,17.0,6.167172772038402,6.065234123183872,36.06817249110097,35.960836220782575,4.873251081456184,4.302016777031679,20.169787473830063,18.96801666740748,36.624964994099095,36.36732927057826,60.066631171984376,60.58421161706361,41.47060964759696,42.674896032644405,41.47060964759696,42.674896032644405
NRO_138_P2,5.0,5.0,19.0,7.0,4.254083380996891,4.098514246255354,31.020941788113365,30.925447196604882,3.9820577637608023,3.506883548341895,18.302911163681568,17.25470543187507,42.83740548106685,42.85626590170221,71.20761126575084,72.64882994584849,39.90705564005525,41.22441467725811,39.90705564005525,41.22441467725811
NRO_138_P3,14.0,3.0,32.0,21.0,3.5770148549551397,3.3030397881118874,24.17242997182877,24.13196255603715,3.016498135975271,2.4706412083507296,15.06647214984066,13.878449225796475,48.01486212196195,48.86757123989238,71.13453970100542,73.04804594811155,33.6175971438713,34.47294478260542,33.6175971438713,34.47294478260542
NRO_138_P4,4.0,8.0,37.0,16.0,4.010318947556918,3.51242035754289,28.80574850424271,28.763733084360304,3.473124498757442,2.7637761176405595,16.752682033456566,15.52480100554137,52.91138372778691,54.198197987399645,73.4355900807245,75.93278786663198,29.013983156754957,30.176912556562375,29.013983156754957,30.176912556562375
NRO_138_P5,5.0,4.0,53.0,14.0,5.2276981925194885,5.056637423120848,31.204369072039697,31.29819554436091,5.093490930448246,4.42299778076681,21.41173758759376,20.023548703667103,49.618429940631145,50.6547027255365,69.89116117353349,71.69849035755396,29.462088004529065,30.01237396204633,29.462088004529065,30.01237396204633
NRO_174_P1,20.0,37.0,3.0,20.0,4.8304393132968695,4.249520635994262,49.547060150502695,49.74184141736008,4.007686332986357,3.3966751039291143,25.639970007527772,25.06089259966765,38.82858505424185,37.572561948333764,74.41861199146938,75.90943700249392,47.302786497025004,50.451102148013696,47.302786497025004,50.451102148013696
NRO_174_P2,16.0,25.0,19.0,24.0,4.187332844572033,3.620485150897275,51.43071328288765,51.68183420718929,5.681001713452133,4.882165761242958,37.43835704257763,37.12632360837562,39.20110854542425,37.766872371608095,73.70519119083922,75.25901736567542,46.95974172563852,50.40559862282193,46.95974172563852,50.40559862282193
NRO_174_P3,18.0,31.0,19.0,30.0,2.6605401486580096,2.1584758557243697,48.700021636646426,48.7317954500277,4.9573487667919025,4.069748276235702,43.98059991210307,43.84391679127164,45.583202975722386,44.99701279168468,80.11102553269805,82.17106315074845,43.8573473710226,46.39254534698124,43.8573473710226,46.39254534698124
