site,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15
PPO_O_05,1.57177742862058,0.17243036863130345,1.5582584563710362,1.536327014150158,0.3837027553437344,0.3092737261281964,-0.1340142985122576,-0.10255200557297427,0.12372108830985816,-0.004163890253743042,0.0674581411514352,0.00257076649364975,-0.03756171405246196,-0.027417314542589888,0.02319235305774774,-0.0011649278908008383
PPO_O_09,2.1942429948682367,1.3305462835272133,3.3252545373780267,1.3762370394125112,0.19965725420996977,1.178170676285828,-0.6931395809879392,-0.05380918458567085,-0.18110175873748935,0.06845821450837526,0.3876891331495746,0.013781796622293547,0.07292565290336794,0.047190973541406125,0.04651680836576545,-0.02540045307601623
PPO_Y_07,3.7977923000431852,-0.6426314980551906,3.3311012272402905,-1.2041836717799703,-0.11729866042608622,0.8763538094429327,-0.5007555389998172,-0.3146158278986173,-0.3720996706886997,-0.13184902733175063,-0.027867962451356573,0.004776637835616999,-0.12442961332004666,-0.05722837751825939,-0.16503697579397872,-0.06571992512667174
PPO_Y_09,-3.4854349221651715,0.93014410166022,1.5451052223617863,3.071701297679364,1.281585031612278,0.35981045956982594,0.9885781873733388,-0.6335937155572056,-0.06793210637692677,0.04065619905032962,-0.019174742055497105,0.19435309496624012,-0.04984633354261466,0.0007557147363276424,-0.0026739148363542345,-0.05701482385211881
PPO_Y_13,2.6192306067128643,-1.7447604211019307,1.4713033455669233,-0.011429113957045996,-0.2872587377458968,0.19892494992007542,0.15444698454877895,0.25574544307803765,0.11458145981126726,-0.11947028074602506,0.09822843645296349,-0.2985513370651081,-0.1251527326985674,-0.0023509085549061285,0.09458016031321442,0.07690594805688969
PPO_Y_17,1.3200719592912187,-1.7846386064851938,0.2905460975597556,0.47802438770661754,-0.16036866703992353,0.08211618080368478,0.5464879822047298,0.4334321377780059,0.49150044169313856,0.4209402524905364,0.21579456134608743,-0.08144800093065876,-0.06424133428033693,0.07505114612225378,0.10700093707637741,0.03495224407861695
PPY_O_09,3.323486377812429,-2.071241515687393,2.487494747973999,-1.7119734728968437,-0.11803783346928164,0.3539532366036425,0.07040860288207111,-0.27506440376179203,-0.2665520740786563,0.07655784219776691,-0.2117732965487549,-0.1360358834581258,-0.16718179531223945,0.0808622397467467,-0.09783157827596549,-0.00545512580692238
PPY_O_24,-4.15027789041663,-1.8705884210795436,1.30124277648012,2.0290378810261935,0.9829806389312393,-0.402047186959378,0.29147214063368065,0.014350488368889934,-0.37851068942780264,0.03533734763754441,0.07324885675961812,-0.13528561228229072,0.12946679794315888,0.06960882006826527,-0.06273472632128485,0.03849454473881775
PPY_O_31,2.095657531401841,-2.1883717293512017,0.9892724714504038,0.10857146410253095,0.19204967422480257,0.3859376333014404,0.4406464361327566,0.2358830225672883,0.12809190955705446,0.1970357631738666,-0.018897588977429852,-0.07509810576353813,-0.1417956114149047,0.06215962975015321,-0.008909676100105294,0.05590211869964409
PPY_Y_01,-1.411049845532891,-2.2257995590358233,1.793042959839638,-1.3434380916822048,-0.6454791217439931,-0.3047678711181735,1.1711464893329058,-0.08578161715215168,-0.7115057126678881,-0.16544456433665297,0.07685251971436459,0.22089145930082768,0.2009237391292735,-0.0663232415022243,-0.12465023828882554,0.09109640253171038
