metric,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9
sd__veg_height_q40,0.17364753383754442,0.08472723221686324,-0.003230922405490331,-0.07439682518628987,0.02264285703629422,0.0036804040995056246,0.09290867738942855,-0.028759916872073084,0.07464751691807736,0.021945051779445394
sd__veg_height_q50,0.16950936109554093,0.0940826140791236,-0.03411576114489763,-0.05912829574134322,0.03702012130211682,-0.01694805900011626,0.11400133400115722,-0.006996410475914565,0.0327335356036231,0.03661017881640673
sd__veg_height_q60,0.16487458741538988,0.10191982946311928,-0.05034853923416201,-0.036071712032117544,0.049484544098940375,-0.029910586691640467,0.13054851308310084,0.02013027058709267,0.0008471961643199978,0.05695690052812396
sd__veg_height_q70,0.15989274082723134,0.1090778041903659,-0.05734072872214408,-0.009612301726261235,0.05854764576760122,-0.04001868667099496,0.14295921972893083,0.04797531245257687,-0.02086359203456939,0.0751176033651495
sd__veg_height_q80,0.1548140664173166,0.11501685011627855,-0.05941467809896223,0.01638647667931362,0.06656676165410139,-0.047766149121516874,0.1522877740359098,0.07326250034286144,-0.035068312801812704,0.08975466806842652
sd__veg_height_q90,0.14905742966102942,0.1203766202710237,-0.060451208507636384,0.043793675713059914,0.07416744628591583,-0.053906781471314995,0.1588667468940805,0.0979324117638757,-0.04287148631694619,0.1007246560750663
sd__veg_height_sd,0.15368200457733802,0.1187288485404378,-0.04402357289706616,0.027811696189651,0.004823371083480057,-0.049873567651449895,0.14438753599957796,0.0766905950063532,-0.03354166461171482,0.06745972045347365
sd__veg_height_cv,0.02287392655705565,0.18301455555142396,0.16500111806091008,-0.12806003683525197,-0.04337079338824169,0.11436192155621364,-0.06923532375107808,0.015312252897171254,-0.08507202910580788,-0.015321954074098802
sd__veg_height_skew,0.10580569420624797,0.12160049542688778,0.1689557106563791,0.05185628489827807,-0.09782543283654534,0.2126719045400581,0.12423702248486508,-0.09057166372277216,-0.23415469973093964,0.0941796686101531
sd__veg_height_kurt,0.11198202982732577,0.07379803657393073,0.19938002773428926,0.12967570110803908,-0.25307772750114677,0.13367763370848545,0.051812464260487315,0.03808742757826346,-0.310544262306637,0.11525078452632413
sd__veg_height_gini,0.025703204857377496,0.16901538374031144,0.19384327426412234,-0.12561694546533245,0.030932934195182386,0.2037117845716233,-0.07108958948543156,-0.08800405782590391,0.008352420659077783,0.00561163389400895
sd__canopy_cover_gt1m,-0.10021906097336752,0.12463397874407618,0.21368644228881495,-0.008867571994916116,0.17143529965131554,0.07849396923758066,-0.12386840219754479,0.06555328103736734,0.08417362372185981,0.06779521766353666
sd__fhd,0.030624423979586108,0.14320618152666356,0.2123337181105755,0.021277078378051654,0.2678388838821969,-0.06380945494643447,-0.2569595844795068,0.25839944941953685,-0.030731801951598966,0.06192658255640294
sd__vci,-0.08535732763061968,0.09183855793781887,0.25097227994303833,-0.04416469899576774,0.33887873823997344,-0.045234172357890734,-0.11768817092702753,0.049798545047335246,0.00929518460769793,0.07505130296073266
sd__shann_capture,0.028658891654620423,0.11813170531868393,0.2619415032888127,0.02492360730394197,0.29748877392367323,-0.06215798918558432,-0.2595762906220315,0.2747435271266823,0.022641802226121447,0.08201753587693324
cv__chm,-0.05928666555011103,0.1789040777458589,-0.035686249835343485,0.22607851009120136,0.03287760633764838,-0.1080359048763208,0.001828547320894602,-0.0012571930697548215,0.10623980390123655,0.007282612045552368
cv__veg_height_mean,-0.04647994496247073,0.1992183528251096,-0.017577920920243444,0.12864227631742733,-0.011747497490398905,-0.07486585253394427,0.00018341632832763284,0.02633960654891468,0.020996361035763,-0.10493149030901291
cv__veg_height_median,-0.03292949288135541,0.20337350274579594,-0.05826097137030204,0.0625228911029031,-0.08275637459824911,-0.08291684374904403,-0.01424629958073303,0.02317175065411446,-0.042194879439423086,-0.1376857352442454
cv__veg_height_q10,0.008352724211919065,0.17014992662932263,0.07742157164215907,-0.19405597516109832,-0.2065328875457972,0.06916561540966866,-0.046751642880910535,0.10873832160805254,-0.04713563721822304,-0.1969700595844955
cv__veg_height_q20,-0.0015579812700692855,0.19313405473086637,0.03686310684173611,-0.12660746501724365,-0.17521995008734106,0.048363750078052235,-0.013411890653625119,0.08617103629702692,-0.043052451213518465,-0.23249308773679062
cv__veg_height_q30,-0.01293339734849395,0.20331101460437742,-0.010094720840038946,-0.05494757425834435,-0.1455641484408534,-0.006448859417901809,-0.011044635732835156,0.0568174292956669,-0.04898917139369873,-0.22538860121901286
cv__veg_height_q40,-0.02341790909712019,0.20489678816370946,-0.04416306593824299,0.006684058423496531,-0.11328513645437194,-0.05380129722119748,-0.013842510563158475,0.03530882632590651,-0.05229569107849879,-0.18955145767873635
cv__veg_height_q50,-0.03292949288135541,0.20337350274579594,-0.05826097137030204,0.0625228911029031,-0.08275637459824911,-0.08291684374904403,-0.01424629958073303,0.02317175065411446,-0.042194879439423086,-0.1376857352442454
cv__veg_height_q60,-0.040139394553863575,0.20034937690236504,-0.058015345123989974,0.10885882785807144,-0.0574303523738168,-0.09890051029104117,-0.010410474484300434,0.015998247856677802,-0.024134176324667498,-0.09434600626619274
